county,region,medinc_nonsnap,medinc_snap,income_gap,snap_hh,snap_below_pov,snap_white,snap_black,snap_with_children,snap_60plus,snap_disability,snap_1worker,snap_nowork,snap_2plus_workers,median_rent,grapi_35,economic_score
Poquoson,Hampton Roads,122463,46293.0000,76170.0000,0.0180,0.5830,1.0000,0.0000,0.8100,0.2260,0.2500,0.8240,0.0590,0.1180,1634,0.4430,0.3795
Portsmouth,Hampton Roads,65724,26750.0000,38974.0000,0.1920,0.4540,0.2050,0.7070,0.5420,0.3220,0.4120,0.4980,0.2310,0.2700,1266,0.4920,0.5639
Radford,Southwest Virginia,57201,13493.0000,43708.0000,0.1130,0.6830,0.7620,0.2150,0.3050,0.2940,0.5110,0.5740,0.3010,0.1250,966,0.5080,0.6495
Richmond,Eastern Shore/Northern Neck,69795,21191.0000,48604.0000,0.1460,0.5490,0.1290,0.7660,0.3910,0.3460,0.4900,0.5270,0.2430,0.2300,1314,0.4340,0.5840
Roanoke,Roanoke Area,59985,20157.0000,39828.0000,0.1660,0.5150,0.4170,0.4390,0.4530,0.2670,0.3830,0.5440,0.2470,0.2090,964,0.3880,0.5895
Salem,Roanoke Area,70914,31329.0000,39585.0000,0.0820,0.5710,0.7550,0.1290,0.5260,0.3700,0.4650,0.4080,0.3290,0.2620,1046,0.3610,0.5471
Staunton,Shenandoah Valley,69650,33824.0000,35826.0000,0.1270,0.3580,0.8280,0.1270,0.4720,0.2710,0.4610,0.5550,0.2440,0.2000,993,0.3510,0.4633
Suffolk,Hampton Roads,97127,33058.0000,64069.0000,0.1120,0.4020,0.2090,0.7390,0.4890,0.4140,0.3830,0.3850,0.2150,0.4000,1484,0.4650,0.4619
Virginia Beach,Hampton Roads,94356,39683.0000,54673.0000,0.0650,0.4110,0.3940,0.4300,0.5560,0.3740,0.4170,0.3980,0.1920,0.4100,1649,0.4220,0.4061
Waynesboro,Shenandoah Valley,61762,19954.0000,41808.0000,0.1380,0.5110,0.6510,0.1820,0.4150,0.3680,0.6470,0.7050,0.1440,0.1510,972,0.3600,0.5339
Williamsburg,Hampton Roads,72473,32126.0000,40347.0000,0.0540,0.1000,0.1370,0.7900,0.6010,0.0410,0.5390,0.7190,0.0550,0.2260,1361,0.4980,0.2488
Winchester,Shenandoah Valley,69063,27457.0000,41606.0000,0.1100,0.4790,0.6620,0.1900,0.4970,0.2420,0.4680,0.5040,0.2320,0.2640,1298,0.3950,0.5100
